Date,Fund_Return,SPY_Return,Residual,Fund,Year,Quantile
2025-06-13,0.0068620685504909,-0.0111801043355396,0.01686732207186,VGENX,2025,10
2003-10-31,0.0160329288886131,-0.0009489604594344,0.016868249630206,FSENX,2003,10
2000-01-06,0.0,-0.0160715845968716,0.0168690848390766,ICPAX,2000,10
1999-07-29,0.0019704507512865,-0.0139842188742921,0.0168721617320569,RYEIX,1999,10
2003-03-28,0.0119156271263325,-0.0050488207325493,0.0168737166351743,FNARX,2003,10
2022-03-25,0.0219427621636894,0.0048836572398553,0.0168740758200653,FNARX,2022,10
1999-04-27,0.0214588213763788,0.0048045438432506,0.0168750496198377,VGENX,1999,10
2012-04-12,0.0299064087796459,0.0130657420817175,0.0168757274020134,ICPAX,2012,10
2023-08-17,0.0087362518890088,-0.0076198011911046,0.0168766727569288,RYEIX,2023,10
2005-10-24,0.0326614703640926,0.0154914346027039,0.0168773077612397,FRNRX,2005,10
2009-02-13,0.0057916290427808,-0.0107585346126813,0.0168774060528407,FSENX,2009,10
2008-09-22,-0.0061106089909342,-0.0226397102766082,0.0168813718663383,FRNRX,2008,10
2022-04-29,-0.0206670120475118,-0.0369553366853755,0.0168827478931024,FRNRX,2022,10
2019-01-03,-0.007352857415822,-0.0238627336872858,0.0168828346223665,FRNRX,2019,10
2017-11-01,0.0183651489074216,0.0013222789095534,0.0168916522378121,FNARX,2017,10
2001-04-12,0.0353647224987005,0.0181616213394979,0.0168920124890691,FNARX,2001,10
2001-04-04,0.0208965036752235,0.0041674895964352,0.0168941648289495,VGENX,2001,10
2009-02-04,0.012383941229688,-0.0048959437238879,0.0168958078019095,PRNEX,2009,10
2000-12-28,0.0196462939665202,0.0030474535912203,0.016896050703944,ICPAX,2000,10
2015-01-21,0.0216998224960622,0.0050484896908593,0.016896181808582,ICPAX,2015,10
2023-03-28,0.0146451940967697,-0.0022449464376391,0.0168974281943191,FRNRX,2023,10
2003-06-19,0.0016327653795871,-0.0152602162093377,0.016899196258136,FNARX,2003,10
2025-03-26,0.006205818364237,-0.0119383494293371,0.0169031144452254,VGENX,2025,10
2018-03-23,-0.0057855461315718,-0.0213144500845493,0.0169034946999316,RYEIX,2018,10
2000-07-18,0.008791511954499,-0.0081743492965741,0.0169048034601664,FNARX,2000,10
2006-06-21,0.0241592787278224,0.0074136854124389,0.0169092003657408,PRNEX,2006,10
