Fund,Year,L2_Distance,Quantile
SHGTX,2003,0.007690066568793839,4
SHGTX,2004,0.006788681472191935,4
SHGTX,2005,0.005052987586307485,2
SHGTX,2006,0.0055821017885232995,2
SHGTX,2007,0.0054076928571797165,2
SHGTX,2008,0.01087802799799433,7
SHGTX,2009,0.007343414693558282,4
SHGTX,2010,0.004365532130589407,1
SHGTX,2011,0.00517033310043997,2
SHGTX,2012,0.00507994887116584,2
SHGTX,2013,0.004452138037136061,1
SHGTX,2014,0.010542173235722475,7
SHGTX,2015,0.0078852777615825,5
SHGTX,2016,0.008948549385259724,6
SHGTX,2017,0.008271988986732395,5
SHGTX,2018,0.01175622627762474,8
SHGTX,2019,0.010599173061178005,7
SHGTX,2020,0.010226356958327323,7
SHGTX,2021,0.011287537583489705,7
SHGTX,2022,0.00894241264594075,6
SHGTX,2023,0.008305362225460987,5
SHGTX,2024,0.010845569551156292,7
SHGTX,2025,0.010878365542167003,7
SHGTX,2026,0.0004336073207514,1
SLMCX,1999,0.014945481778364885,9
SLMCX,2000,0.023126795626567602,10
SLMCX,2001,0.017729613836912635,10
SLMCX,2002,0.0116814939751079,8
SLMCX,2003,0.007038638551229228,4
SLMCX,2004,0.006914792588227418,4
SLMCX,2005,0.0053246982626984195,2
SLMCX,2006,0.005683137664943465,2
SLMCX,2007,0.039902394216915486,10
SLMCX,2008,0.01274510465354016,8
SLMCX,2009,0.00815271032809856,5
SLMCX,2010,0.0049728410418766675,1
SLMCX,2011,0.006426315634177474,3
SLMCX,2012,0.0066837288334476675,3
SLMCX,2013,0.0048315862247444085,1
SLMCX,2014,0.010298575460853837,7
SLMCX,2015,0.010350629213650351,7
SLMCX,2016,0.008379924954613503,5
SLMCX,2017,0.010116422423816936,6
SLMCX,2018,0.010034473588124686,6
SLMCX,2019,0.01121790249941728,7
SLMCX,2020,0.011372915634727303,7
SLMCX,2021,0.011652331841398992,8
SLMCX,2022,0.010516069040954215,7
SLMCX,2023,0.007329123334476292,4
SLMCX,2024,0.011487555191773439,7
SLMCX,2025,0.010758171715067816,7
SLMCX,2026,0.0004890600098063,1
