Fund,Year,L2_Distance,Quantile
RPFRX,2025,0.009822460296003014,6
RPFRX,2026,0.0001918600129647,1
SOAAX,1999,0.011185933317444899,8
SOAAX,2000,0.012651972487698799,8
SOAAX,2001,0.00990011621782862,6
SOAAX,2002,0.012851047045047866,9
SOAAX,2003,0.0072325419635467444,2
SOAAX,2004,0.010242179391792762,7
SOAAX,2005,0.007328739137143671,2
SOAAX,2006,0.006626561223983309,2
SOAAX,2007,0.010330308461509143,7
SOAAX,2008,0.030272410119847368,10
SOAAX,2009,0.03009285453723182,10
SOAAX,2010,0.010775724580695777,7
SOAAX,2011,0.009037227793700232,4
SOAAX,2012,0.006158004330340576,1
SOAAX,2013,0.006062483838796036,1
SOAAX,2014,0.005711540412964728,1
SOAAX,2015,0.009125008726865173,5
SOAAX,2016,0.008410018375508664,4
SOAAX,2017,0.005545799944660755,1
SOAAX,2018,0.009498488857188523,6
SOAAX,2019,0.007388559338112953,3
SOAAX,2020,0.011770651752207442,8
SOAAX,2021,0.0073851415143774855,3
SOAAX,2022,0.008928603847801229,4
SOAAX,2023,0.008659263292773943,4
SOAAX,2024,0.008688809854656353,4
SOAAX,2025,0.008905787093347602,4
SOAAX,2026,1.6233487757449537e-07,1
STMDX,1999,0.010219669857957626,6
STMDX,2000,0.012081217485703906,8
STMDX,2001,0.009156455115022773,5
STMDX,2002,0.01224391653798789,8
STMDX,2003,0.006947742444249685,2
STMDX,2004,0.01049634501064585,7
STMDX,2005,0.0078081322724153765,3
STMDX,2006,0.007585927032378908,3
STMDX,2007,0.010526715458578344,7
STMDX,2008,0.028158466945875333,10
STMDX,2009,0.025027800653012758,10
STMDX,2010,0.009076304264378375,5
STMDX,2011,0.008747556436516122,4
STMDX,2012,0.006446943288301263,2
STMDX,2013,0.00698047257356538,2
STMDX,2014,0.010437800690242097,7
STMDX,2015,0.007658829011870283,3
STMDX,2016,0.00911134933595216,5
STMDX,2017,0.006352636813152314,2
STMDX,2018,0.008829968258527282,4
STMDX,2019,0.00800967338667664,3
STMDX,2020,0.012683770498949793,9
STMDX,2021,0.008545118595409934,4
STMDX,2022,0.010353656480127184,7
STMDX,2023,0.010848468116292337,7
STMDX,2024,0.00921240852416451,5
STMDX,2025,0.009656867364327542,6
STMDX,2026,0.0002624810158623,1
TRREX,1999,0.01080593102533845,7
TRREX,2000,0.01267635769828988,9
TRREX,2001,0.010164525237360495,6
TRREX,2002,0.012529778709830516,8
TRREX,2003,0.0073693067134836575,3
TRREX,2004,0.01000233234967134,6
TRREX,2005,0.007502732235243404,3
TRREX,2006,0.007333782718637681,2
TRREX,2007,0.010613565905320126,7
TRREX,2008,0.029743171968319406,10
TRREX,2009,0.027744594898794425,10
TRREX,2010,0.009878261537225382,6
TRREX,2011,0.008160117679228421,4
TRREX,2012,0.0056390928316668336,1
TRREX,2013,0.006412939765707151,2
TRREX,2014,0.005630291115029668,1
TRREX,2015,0.00766270715548855,3
TRREX,2016,0.007590928656169417,3
TRREX,2017,0.006462520999726607,2
TRREX,2018,0.00905318311440826,5
TRREX,2019,0.0118846385495174,8
TRREX,2020,0.04344518185511864,10
TRREX,2021,0.013952416383121478,9
TRREX,2022,0.01973272073903019,10
TRREX,2023,0.010515164222769347,7
TRREX,2024,0.010158543647583793,6
TRREX,2025,0.010337498228597381,7
TRREX,2026,0.0003525773810768,1
