Fund,Year,L2_Norm,Sector,Cluster_k5,Cluster_k8
PRNEX,2017,0.0827358872774115,energy,2,3
PRNEX,2018,0.0968488573952998,energy,2,3
PRNEX,2019,0.0813342970379676,energy,2,2
PRNEX,2020,0.1657248978506877,energy,5,7
PRNEX,2021,0.1154807138765041,energy,3,5
PRNEX,2022,0.1617360958315527,energy,5,7
PRNEX,2023,0.1373632199612553,energy,4,6
PRNEX,2024,0.1180841909324441,energy,3,5
PRNEX,2025,0.1175070462067047,energy,3,5
RYEIX,1999,0.2361322854922538,energy,5,8
RYEIX,2000,0.2867810502102282,energy,5,8
RYEIX,2001,0.2319562214404844,energy,5,8
RYEIX,2002,0.1808577657740003,energy,5,7
RYEIX,2003,0.1416455370352823,energy,4,6
RYEIX,2004,0.1655896546650891,energy,5,7
RYEIX,2005,0.1978992972184696,energy,5,8
RYEIX,2006,0.2067394876551663,energy,5,8
RYEIX,2007,0.1416702075376714,energy,4,6
RYEIX,2008,0.3630294807909376,energy,5,8
RYEIX,2009,0.1816162825220803,energy,5,7
RYEIX,2010,0.104866350705085,energy,3,4
RYEIX,2011,0.1387541113654919,energy,4,6
RYEIX,2012,0.1056653264031436,energy,3,4
RYEIX,2013,0.088536129243536,energy,2,3
RYEIX,2014,0.1678391517787413,energy,5,7
RYEIX,2015,0.2323241803424838,energy,5,8
RYEIX,2016,0.2409265098722679,energy,5,8
RYEIX,2017,0.1739544995917721,energy,5,7
RYEIX,2018,0.175512462605407,energy,5,7
RYEIX,2019,0.1704671857456307,energy,5,7
RYEIX,2020,0.4217074727928142,energy,5,8
RYEIX,2021,0.2777312331071899,energy,5,8
RYEIX,2022,0.2967376974735504,energy,5,8
RYEIX,2023,0.2000525740380617,energy,5,8
RYEIX,2024,0.1621945645759325,energy,5,7
RYEIX,2025,0.1815259257058768,energy,5,7
SPY,1999,7.295920722536886e-06,energy,1,1
SPY,2000,7.919289927774363e-06,energy,1,1
SPY,2001,7.122641856693431e-06,energy,1,1
SPY,2002,8.58067931814203e-06,energy,1,1
SPY,2003,8.64934192944911e-06,energy,1,1
SPY,2004,7.650076521510294e-06,energy,1,1
SPY,2005,6.157244905375693e-06,energy,1,1
SPY,2006,5.838773460298096e-06,energy,1,1
SPY,2007,6.776067706460308e-06,energy,1,1
SPY,2008,6.183331002242675e-06,energy,1,1
SPY,2009,6.491415219928968e-06,energy,1,1
SPY,2010,5.430407568406071e-06,energy,1,1
SPY,2011,4.790213669406377e-06,energy,1,1
SPY,2012,5.544198958431018e-06,energy,1,1
SPY,2013,6.24315814547322e-06,energy,1,1
SPY,2014,5.343786278397521e-06,energy,1,1
SPY,2015,4.824160114454516e-06,energy,1,1
SPY,2016,4.808953814569827e-06,energy,1,1
SPY,2017,3.4974083905991817e-06,energy,1,1
SPY,2018,4.696512670229357e-06,energy,1,1
SPY,2019,4.484753849945574e-06,energy,1,1
SPY,2020,4.466574530142402e-06,energy,1,1
SPY,2021,3.128869266939762e-06,energy,1,1
SPY,2022,2.5187519170785e-06,energy,1,1
SPY,2023,2.142930654048192e-06,energy,1,1
SPY,2024,2.340284104344108e-06,energy,1,1
SPY,2025,1.529883074361443e-06,energy,1,1
VGENX,1999,0.2208110790749801,energy,5,8
VGENX,2000,0.2563775362257026,energy,5,8
VGENX,2001,0.2300283194584362,energy,5,8
VGENX,2002,0.1616899105786792,energy,5,7
VGENX,2003,0.1088580993223595,energy,3,4
VGENX,2004,0.1351774657918926,energy,4,6
VGENX,2005,0.1720937302385418,energy,5,7
VGENX,2006,0.1832624890835242,energy,5,7
VGENX,2007,0.1292099278349677,energy,4,6
VGENX,2008,0.3122010878448524,energy,5,8
VGENX,2009,0.1638619812646632,energy,5,7
VGENX,2010,0.090384574518239,energy,2,3
VGENX,2011,0.1108598839795796,energy,3,4
VGENX,2012,0.0893998981497045,energy,2,3
VGENX,2013,0.071741395272136,energy,1,2
VGENX,2014,0.1316050877493441,energy,4,6
VGENX,2015,0.1821008615712985,energy,5,7
VGENX,2016,0.1786339708353377,energy,5,7
VGENX,2017,0.1164869747644595,energy,3,5
VGENX,2018,0.1379719334569904,energy,4,6
VGENX,2019,0.1207161262774982,energy,3,5
VGENX,2020,0.2580738621911214,energy,5,8
VGENX,2021,0.1299377774839783,energy,4,6
VGENX,2022,0.1869596493481182,energy,5,7
VGENX,2023,0.1386341134602598,energy,4,6
VGENX,2024,0.1090696847296249,energy,3,4
VGENX,2025,0.1163692206356959,energy,3,5
FDCPX,1999,0.2064667578555939,technology,5,8
FDCPX,2000,0.3748299928712038,technology,5,8
FDCPX,2001,0.3508955590338967,technology,5,8
FDCPX,2002,0.2306976229292564,technology,5,8
FDCPX,2003,0.1563342924815823,technology,5,7
FDCPX,2004,0.1683327702064192,technology,5,7
FDCPX,2005,0.109306245841058,technology,3,4
FDCPX,2006,0.1043884426556512,technology,3,4
FDCPX,2007,0.1259859005048433,technology,4,5
FDCPX,2008,0.1866033096316523,technology,5,7
FDCPX,2009,0.1357117993148504,technology,4,6
FDCPX,2010,0.0998575500944087,technology,3,4
FDCPX,2011,0.1049629887475716,technology,3,4
FDCPX,2012,0.0942784306101485,technology,2,3
FDCPX,2013,0.0950923948066271,technology,2,3
FDCPX,2014,0.0874493078571559,technology,2,3
FDCPX,2015,0.0876571873690289,technology,2,3
FDCPX,2016,0.0897190815311152,technology,2,3
FDCPX,2017,0.081050603656547,technology,2,2
FDCPX,2018,0.0852974989636284,technology,2,3
FDCPX,2019,0.084725127891142,technology,2,3
FDCPX,2020,0.1055005378119886,technology,3,4
FDCPX,2021,0.0968201235110208,technology,2,3
FDCPX,2022,0.0819610355661843,technology,2,2
FDCPX,2023,0.085942466335265,technology,2,3
FDCPX,2024,0.084687269005083,technology,2,3
FDCPX,2025,0.1087588213006823,technology,3,4
FSCSX,1999,0.240267915634831,technology,5,8
FSCSX,2000,0.3585914186059822,technology,5,8
FSCSX,2001,0.3005087812132196,technology,5,8
FSCSX,2002,0.1907561277195965,technology,5,8
FSCSX,2003,0.1287090403412801,technology,4,6
FSCSX,2004,0.1160682949577181,technology,3,5
FSCSX,2005,0.1007419100076192,technology,3,4
FSCSX,2006,0.0885726808874274,technology,2,3
FSCSX,2007,0.0967798556958536,technology,2,3
FSCSX,2008,0.1598475648665249,technology,5,7
FSCSX,2009,0.1086732013625352,technology,3,4
FSCSX,2010,0.0757184694589589,technology,1,2
FSCSX,2011,0.0847114884757882,technology,2,3
FSCSX,2012,0.0693284351531218,technology,1,2
FSCSX,2013,0.0709714119434404,technology,1,2
FSCSX,2014,0.1378870784278952,technology,4,6
FSCSX,2015,0.0712173809296496,technology,1,2
FSCSX,2016,0.0881559726117744,technology,2,3
FSCSX,2017,0.0730474314655616,technology,1,2
FSCSX,2018,0.0984383036868354,technology,2,4
FSCSX,2019,0.0697361240174061,technology,1,2
FSCSX,2020,0.1289982830132185,technology,4,6
FSCSX,2021,0.0904176589407901,technology,2,3
FSCSX,2022,0.110386523406675,technology,3,4
FSCSX,2023,0.0945344575484678,technology,2,3
FSCSX,2024,0.107484894920991,technology,3,4
FSCSX,2025,0.1216698742849776,technology,3,5
FSELX,1999,0.2809253979569567,technology,5,8
FSELX,2000,0.4153313385640521,technology,5,8
FSELX,2001,0.3982756874953256,technology,5,8
FSELX,2002,0.321392050928378,technology,5,8
FSELX,2003,0.1968139231151756,technology,5,8
FSELX,2004,0.2129273363779072,technology,5,8
FSELX,2005,0.1291458918949207,technology,4,6
FSELX,2006,0.1408107285589436,technology,4,6
FSELX,2007,0.1239724461328183,technology,4,5
FSELX,2008,0.216380870472692,technology,5,8
FSELX,2009,0.1908150845711348,technology,5,8
FSELX,2010,0.1401471107000383,technology,4,6
FSELX,2011,0.1730604335612378,technology,5,7
FSELX,2012,0.1404579072306565,technology,4,6
FSELX,2013,0.1050340403102422,technology,3,4
FSELX,2014,0.1079391466648706,technology,3,4
FSELX,2015,0.1338823293557927,technology,4,6
FSELX,2016,0.1288275349976377,technology,4,6
FSELX,2017,0.1028396699330391,technology,3,4
FSELX,2018,0.1578027116103177,technology,5,7
FSELX,2019,0.1622459042500995,technology,5,7
FSELX,2020,0.2068068649998231,technology,5,8
FSELX,2021,0.2102193511456598,technology,5,8
FSELX,2022,0.2254433247738595,technology,5,8
FSELX,2023,0.2211776695570406,technology,5,8
